,SymbolsA,EntrezsA,AveExpr,B
221563_at,DUSP10,11221,8.55928049638293,1.61173300335062
218035_s_at,RBM47,54502,10.3046001142486,1.60610210985926
202446_s_at,PLSCR1,5359,10.5622201536629,1.5498897133142
204573_at,CROT,54677,9.10469061334239,1.54124043943186
219529_at,CLIC3,9022,6.10568826109569,1.51438017563808
204855_at,SERPINB5,5268,7.81972547106469,1.51383828683839
209397_at,ME2,4200,9.8085058060287,1.48542417751846
44790_s_at,RUBCNL,80183,6.30308141393446,1.4725772929268
201596_x_at,KRT18,3875,11.9006367425368,1.43877387188137
218313_s_at,GALNT7,51809,9.70790123054671,1.38555805543621
204825_at,MELK,9833,10.1532531968325,1.37432551134807
213888_s_at,TRAF3IP3,80342,7.91852590133184,1.3531283540783
218854_at,DSE,29940,9.24131849290721,1.34274249041901
219940_s_at,PCID2,55795,9.14600625964876,1.32405850469262
201701_s_at,PGRMC2,10424,9.41473247272547,1.31645389141878
201650_at,KRT19,3880,11.5211351297637,1.26745497446891
201291_s_at,TOP2A,7153,9.49850092558224,1.26137494601648
210859_x_at,CLN3,1201,9.325699169704,1.25920507342678
202109_at,ARFIP2,23647,9.34894504265983,1.25434601482337
218902_at,NOTCH1,4851,7.51278527173875,1.24990897891294
206346_at,PRLR,5618,6.31515173753899,1.23798114585099
212330_at,TFDP1,7027,10.2364421251534,1.21980674468732
203324_s_at,CAV2,858,6.08432195174834,1.2195628489962
202680_at,GTF2E2,2961,8.97569961225896,1.207628854507
203690_at,TUBGCP3,10426,6.9446035030508,1.19523989081587
204444_at,KIF11,3832,8.35650818419222,1.18803617921034
202704_at,TOB1,10140,10.2060391214295,1.1860209431126
204319_s_at,RGS10,6001,7.96342466159131,1.18270334496905
209522_s_at,CRAT,1384,8.37215311019732,1.11661037769133
218877_s_at,TRMT11,60487,8.03071654934409,1.1031640979352
218499_at,STK26,51765,9.5563793031734,1.08942069796103
209842_at,SOX10,6663,7.64133293444122,1.07785143872631
222039_at,KIF18B,146909,8.36425355364329,1.06272823594972
201087_at,PXN,5829,8.72178844768891,1.02162123980284
204787_at,VSIG4,11326,9.06594333133717,1.0181966138485
208872_s_at,REEP5,7905,10.5007537175108,1.01172300303845
204774_at,EVI2A,2123,8.69471142491778,0.998178704142322
210445_at,FABP6,2172,6.54956991425952,0.963512505086854
201131_s_at,CDH1,999,11.5897715914537,0.927787259107467
203824_at,TSPAN8,7103,6.4851565846394,0.914355267384626
51158_at,FAM174B,400451,8.47799962351055,0.90863111010823
210319_x_at,MSX2,4488,6.07866086073642,0.905646221993276
211416_x_at,GGTLC1,92086,8.26746819811108,0.87935312626981
200972_at,TSPAN3,10099,10.5507979606466,0.869884603187696
205073_at,CYP2J2,1573,8.35328373423449,0.863267276192532
208854_s_at,STK24,8428,9.7362652223203,0.851582277764907
202401_s_at,SRF,6722,8.21888496934312,0.833877859165175
213418_at,HSPA6,3310,8.41702034970145,0.821005886367759
219148_at,PBK,55872,7.85606096613588,0.819873200678282
212607_at,AKT3,10000,9.01266968348624,0.813363166731149
201349_at,SLC9A3R1,9368,10.42626145444,0.807262420233598
206584_at,LY96,23643,8.99447862454954,0.783039614226005
218342_s_at,ERMP1,79956,9.93418892911223,0.763420703929309
221927_s_at,ABHD11,83451,9.15768617571574,0.739168046489155
209616_s_at,CES1,1066,8.12148934435725,0.733794238992179
204669_s_at,RNF24,11237,9.00138547871823,0.662582009102803
209048_s_at,ZMYND8,23613,8.61092645696723,0.660049488112302
217973_at,DCXR,51181,10.1631931586131,0.654689917279004
205548_s_at,BTG3,10950,9.37133084987338,0.654671200696275
218438_s_at,MED28,80306,7.38003438976803,0.65392661872046
218331_s_at,FAM208B,54906,8.52160016065147,0.630156315988942
204238_s_at,DNPH1,10591,7.86786608284108,0.623906874061674
204304_s_at,PROM1,8842,8.03367788598463,0.605567461062341
204554_at,PPP1R3D,5509,6.96210780058598,0.59427238115783
209395_at,CHI3L1,1116,8.91392720105206,0.588440878741482
218757_s_at,UPF3B,65109,9.20290125640172,0.582734120964878
218530_at,FHOD1,29109,7.81846319554641,0.563204742125505
210791_s_at,ARHGAP32,9743,7.76957273886066,0.558250005780986
215696_s_at,SEC16A,9919,9.81032376019845,0.556010108868103
219053_s_at,VPS37C,55048,10.1085196087036,0.551469610876311
212265_at,QKI,9444,10.1937281373354,0.515500273298045
212973_at,RPIA,22934,9.97404066376466,0.485391322465351
210056_at,RND1,27289,6.90398293584006,0.482920743449821
221489_s_at,SPRY4,81848,9.29329204513952,0.459122587331496
205498_at,GHR,2690,8.05737697782576,0.458896158207128
213005_s_at,KANK1,23189,8.55049830123005,0.448497884829997
219694_at,FAM105A,54491,6.57531631927583,0.431303109571625
208998_at,UCP2,7351,10.9999061573011,0.43055704196701
209435_s_at,ARHGEF2,9181,9.39170314763995,0.42850624411926
210145_at,PLA2G4A,5321,5.40111222650146,0.42015841307138
219956_at,GALNT6,11226,7.95526987196593,0.406421548633862
204001_at,SNAPC3,6619,7.68259596290522,0.40601960887409
218546_at,C1orf115,79762,8.41040250825295,0.394912388480518
203855_at,WDR47,22911,7.87855039114279,0.391354870587121
218434_s_at,AACS,65985,9.11820174180929,0.365226029175806
209778_at,TRIP11,9321,7.25247589525092,0.350130993607705
210652_s_at,TTC39A,22996,8.02049305161077,0.339715513075923
219481_at,TTC13,79573,8.35869000750899,0.325936280989089
221874_at,KIAA1324,57535,8.15891883426992,0.296605802415394
210024_s_at,UBE2E3,10477,9.78657450883618,0.294968199697352
220559_at,EN1,2019,5.5707031082488,0.293011806092987
201095_at,DAP,1611,9.85216565124681,0.271501199630562
201563_at,SORD,6652,9.5706078645054,0.257576422156782
202422_s_at,ACSL4,2182,5.42194189425461,0.253277153533169
218531_at,TMEM134,80194,9.90146404401746,0.250838830921446
215465_at,ABCA12,26154,5.86304810361403,0.219456274389228
210328_at,GNMT,27232,6.80004748196946,0.190842649145032
209642_at,BUB1,699,7.60686308945557,0.180027816905306
208072_s_at,DGKD,8527,10.1571037079369,0.149529720183909
202003_s_at,ACAA2,10449,9.85504430397848,0.14898122223817
209173_at,AGR2,10551,9.288668983913,0.146177733130954
205603_s_at,DIAPH2,1730,6.84291464111907,0.142058061685693
205174_s_at,QPCT,25797,6.53823611640612,0.111843142526652
218319_at,PELI1,57162,8.35667825407432,0.108365503540526
201272_at,AKR1B1,231,10.2591413137101,0.108268557950588
214670_at,ZKSCAN1,7586,7.83331998358662,0.0943936097377822
203375_s_at,TPP2,7174,7.52504741426344,0.0921739033525215
203554_x_at,PTTG1,9232,10.7398344656248,0.0799957384757493
206002_at,ADGRG2,10149,7.01821833316489,0.071008142462925
220239_at,KLHL7,55975,7.25037978692418,0.069525930199946
218153_at,CARS2,79587,9.76372844515373,0.0663005960246128
207700_s_at,NCOA3,8202,8.28876004816424,-0.00310528186471082
200071_at,SMNDC1,10285,9.38489325623159,-0.00390390751675884
202156_s_at,CELF2,10659,6.99096436454191,-0.00664820195591265
214240_at,GAL,51083,6.98500134841604,-0.0117532219967238
