,SymbolsA,EntrezsA,AveExpr,B
118,NA,118,8.31225675505394,-6.14269525792286
119,NA,119,7.19487937823348,-1.9310884366685
120,NA,120,9.9080160587252,-6.49363489179504
123,NA,123,10.784317164818,-1.34149658759157
125,NA,125,7.17805927971228,-6.41979391847577
128,NA,128,8.8800397010389,-6.27655941802715
132,NA,132,9.44809008599607,-6.37479850966522
133,NA,133,9.1725137064745,-6.51780683125726
134,NA,134,7.17402447279262,-5.89264882658617
140,NA,140,8.41844590293931,-6.51134724792344
150,NA,150,7.77695269964663,-6.39912850911331
151,NA,151,7.64663486120161,-6.07857203237278
154,NA,154,6.98923911482542,-6.39266041454764
158,NA,158,10.2725303407364,-4.85052462363127
159,NA,159,9.22397136068124,-6.45584799532964
161,NA,161,8.61677052656587,-5.56433173906261
162,NA,162,8.09411398380902,-4.39328113923525
163,NA,163,8.89322333005706,-6.24537211313401
165,NA,165,10.1905482286271,-6.4178291831265
175,NA,175,9.96602159594789,-3.57812359962575
178,NA,178,8.38184399626907,-6.42864119829775
182,NA,182,9.41075328603905,-3.10807787079839
183,NA,183,7.81636158733609,-6.25810485162322
185,NA,185,6.93030183598998,-5.93684217886158
187,NA,187,9.07452927648225,-6.43567099724358
191,NA,191,10.3230114703366,-5.1355255834968
196,NA,196,7.72390923584841,-2.37811356094757
199,NA,199,9.80102630163362,-3.16143471571355
202,NA,202,9.31494621869867,-5.28811975519811
203,NA,203,8.16628107256704,-6.46979777014601
204,NA,204,8.70405340587242,-3.68462625425189
205,NA,205,7.65723224814223,-2.57144447458369
207,NA,207,9.57682212515183,-1.60159054948028
210,NA,210,8.17762430021832,-6.51726508196285
211,NA,211,9.05975507673129,-4.81179528504681
214,NA,214,8.54556661139058,3.37479919038645
216,NA,216,6.74553829549004,-6.39274358977207
217,NA,217,10.520600902039,-5.25415909449677
220,NA,220,8.62978864897702,-4.84660246472929
222,NA,222,9.30924952152222,6.81316937025762
223,NA,223,11.5718157434597,-4.99393440232689
224,NA,224,9.2716394274211,-6.31651647777265
226,NA,226,12.5330941537137,-2.5326650608939
231,NA,231,10.2591413137101,0.108268557950588
240,NA,240,8.41654261231614,-4.62138029307418
247,NA,247,8.41427592330765,-0.581122368466863
262,NA,262,8.85403737587474,-0.428698687380512
267,NA,267,8.59790265842773,-6.19655962247541
271,NA,271,8.70334886834766,-2.61191878282529
272,NA,272,9.25820493739918,-4.12925720152809
273,NA,273,7.47680007589401,-6.4667074567986
274,NA,274,8.48413846458188,-5.16761720853407
283,NA,283,7.12758709704707,-6.3121052164952
285,NA,285,6.7794116826817,-5.93928193533719
287,NA,287,5.51614140504991,-6.26098711710338
288,NA,288,9.99393829948401,-4.97198579569133
290,NA,290,6.25155101093038,-3.22224343857253
291,NA,291,8.69065422612685,-5.95843513983406
